algorithm,dataset_type,filename,input_size,threads,run_number,execution_time_ms,memory_usage_kb,comparison_count
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,3,52.030,74448,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,1,144.697,74512,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,2,145.445,74512,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,3,149.495,74512,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,1,172.438,74640,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,2,163.354,74624,117329316
quicksort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,3,171.389,74624,117329316
mergesort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,1,211.098,94112,95542933
mergesort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,2,213.305,94128,95542933
mergesort_seq,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,3,212.734,94112,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,1,212.522,94112,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,2,212.635,94112,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,1,3,214.302,94128,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,1,312.460,113184,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,2,300.310,111312,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,2,3,301.623,112448,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,1,173.772,99328,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,2,173.749,104096,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,4,3,173.191,106544,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,1,254.471,131536,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,2,261.213,114080,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,8,3,255.819,133312,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,1,256.916,122272,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,2,258.212,114272,95542933
mergesort_par,nearly_sorted,nearly_sorted-input-5000000-1-float.txt,5000000,16,3,256.626,121568,95542933
mergesort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,1,167.798,94112,54717312
mergesort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,2,166.469,94128,54717312
mergesort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,3,167.813,94112,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,1,181.069,94192,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,2,172.986,94288,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,3,166.043,94112,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,1,319.461,112448,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,2,316.380,112704,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,3,323.714,112688,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,1,174.111,111712,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,2,166.920,94384,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,3,170.832,112320,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,1,241.727,115440,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,2,245.854,130848,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,3,244.515,126800,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,1,251.152,117888,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,2,254.135,114672,54717312
mergesort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,3,250.215,121824,54717312
quicksort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,1,53.514,74368,116611392
quicksort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,2,51.253,74368,116611392
quicksort_seq,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,3,51.761,74368,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,1,53.692,74384,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,2,51.414,74384,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,1,3,51.244,74384,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,1,38.047,74400,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,2,38.386,74416,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,2,3,37.071,74416,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,1,49.495,74448,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,2,49.703,74432,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,4,3,49.928,74448,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,1,146.822,74496,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,2,130.112,74512,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,8,3,145.896,74512,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,1,192.501,74640,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,2,192.029,74640,116611392
quicksort_par,reverse_ordered,reverse_ordered-input-5000000-1-float.txt,5000000,16,3,191.215,74640,116611392
quicksort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,1,52.035,74384,116611391
quicksort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,2,53.356,74384,116611391
quicksort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,3,56.922,74384,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,1,53.033,74368,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,2,52.504,74384,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,3,54.232,74368,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,1,38.590,74416,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,2,38.139,74416,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,3,38.597,74416,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,1,50.120,74448,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,2,50.369,74432,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,3,50.295,74448,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,1,144.962,74512,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,2,146.537,74512,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,3,146.703,74512,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,1,194.391,74624,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,2,192.744,74640,116611391
quicksort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,3,193.772,74624,116611391
mergesort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,1,195.010,94112,56894080
mergesort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,2,192.150,94112,56894080
mergesort_seq,ordered,ordered-input-5000000-1-float.txt,5000000,1,3,199.774,95360,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,1,190.077,94128,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,2,192.625,93968,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,1,3,189.268,94112,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,1,309.677,113328,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,2,319.744,113376,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,2,3,314.891,112688,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,1,168.262,94272,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,2,169.955,99168,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,4,3,171.346,104096,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,1,251.040,136560,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,2,254.412,129552,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,8,3,266.703,128576,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,1,255.778,119248,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,2,254.003,117776,56894080
mergesort_par,ordered,ordered-input-5000000-1-float.txt,5000000,16,3,256.945,113792,56894080
mergesort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,1,608.738,185520,211551610
mergesort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,2,601.958,185504,211551610
mergesort_seq,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,3,609.829,185504,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,1,598.154,185504,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,2,603.300,185520,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,1,3,617.701,185504,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,1,638.975,203936,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,2,631.319,218624,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,2,3,637.266,204800,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,1,358.835,199040,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,2,367.584,221312,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,4,3,353.885,194736,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,1,509.559,240448,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,2,517.331,229792,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,8,3,553.501,236096,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,1,515.642,242496,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,2,520.200,229072,211551610
mergesort_par,repeated_values,repeated_values-input-10000000-1-float.txt,10000000,16,3,541.529,233072,211551610
